quarter,index_turnover_rate
1,0.44520000000000004
2,0.5214285714285715
3,0.748688524590164
4,0.5079310344827587
5,0.3759016393442623
6,0.2915384615384615
7,0.2555
8,0.3481034482758621
9,0.2954237288135593
10,0.23523076923076924
11,0.2772131147540984
12,0.4735714285714286
13,0.35771929824561405
14,0.3903125
15,0.340327868852459
16,0.32706896551724135
17,0.2481967213114754
18,0.4656923076923077
19,1.2045901639344263
20,1.2331578947368422
21,1.927258064516129
22,1.2071875
23,0.7396721311475409
24,0.5032203389830509
25,0.3560655737704918
26,0.38234375
27,0.47883333333333333
28,0.3708474576271186
29,0.42116666666666663
30,0.4863076923076923
31,0.45216666666666666
32,0.5337288135593221
33,0.3223333333333333
34,0.28515625
35,0.32416666666666666
36,0.5908620689655173
37,0.4986666666666667
38,0.36030769230769233
39,0.3473770491803279
40,0.5910344827586207
41,0.4011864406779661
42,0.6843939393939394
43,0.5041666666666667
44,0.696551724137931
45,0.498
46,0.70953125
47,0.5209836065573771
48,0.5022413793103448
49,0.5167796610169492
50,0.3849230769230769
51,0.4046666666666667
