month,camount
1,9.137232976002196
2,9.48105429619781
3,9.073901900747495
4,9.409949140156728
5,9.696018634769429
6,9.647988021775278
7,10.33514073983272
8,10.4017317611804
9,9.909789652522017
10,9.705965450602493
11,9.703027890360442
12,10.157732405148685
13,9.856226119261947
14,9.396754376603665
15,9.395616725721478
16,9.591745000988825
17,9.42728474804757
18,8.928832532989512
19,8.928599283545404
20,9.219219832622766
21,8.820460185606349
22,8.906279564015273
23,9.433947016046389
24,9.530666530825465
25,9.136394540523101
26,9.476667542977399
27,9.050770032288197
28,9.093319920478574
29,8.97055028267222
30,9.016192357503225
31,8.716674998612543
32,8.724399212314584
33,9.474886869025807
34,9.763810456561412
35,9.495298237142531
36,9.621750440403959
37,9.163542222427543
38,9.609858498457804
39,9.231766190987537
40,9.537515956906587
41,9.598411749066408
42,9.741738326740442
43,9.554965710125211
44,9.509374762334868
45,9.45892864322102
46,9.268375290462567
47,9.44319105625652
48,9.444646192716563
49,9.369556202243128
50,8.98773417626059
51,9.009673565395358
52,9.660147033683845
53,9.805086099666772
54,10.002578757067106
55,9.878855150633056
56,10.498951339446164
57,11.514621725506538
58,11.156813648159934
59,10.459396478540224
60,11.377504974838365
61,11.8202326489632
62,11.704432703912385
63,11.87440357521498
64,11.709023686223533
65,11.08873492518231
66,10.461321468165314
67,10.524704157922852
68,10.977222449043174
69,10.722183536967464
70,10.183839072018007
71,9.729942172199245
72,10.394658686033107
73,10.024661277746619
74,9.752352986328502
75,9.926623832718036
76,10.220745296019214
77,10.227787434293448
78,9.717256162295124
79,9.63331266440844
80,10.401265322072861
81,10.184364774420624
82,9.612192962794063
83,9.81759682011702
84,10.107049428142558
85,10.126084154300699
86,9.958583507636154
87,10.124928855847942
88,10.323550590499849
89,10.443283067305398
90,10.309026324597703
91,10.047740265853468
92,10.632869984574851
93,10.218708427237463
94,10.777532359916092
95,10.236270133599255
96,10.368034445841332
97,10.047340679807167
98,10.09086878754269
99,10.011445142874154
100,10.04719171414391
101,9.956061027143196
102,9.694160610754333
103,9.873999007826466
104,10.010759989307406
105,9.693224441050543
106,9.877095321412112
107,10.295057569444772
108,10.905758713489027
109,10.812788915579256
110,10.266743593472283
111,10.1623422039719
112,10.283556558996843
113,10.299039015784851
114,10.358077054666989
115,10.014572651455815
116,10.182396881756196
117,10.427449219460248
118,10.395140448577543
119,10.914117083486165
120,10.91550492293818
121,10.432091402940143
122,10.250246697025476
123,10.605882589549093
124,11.515529671080007
125,11.129058870588423
126,10.783748124026088
127,10.484779561634122
128,10.990424954158502
129,11.055937246595184
130,11.416561910561628
131,11.052597752691991
132,11.163228972045781
133,10.879113227890187
134,10.883626129586116
135,11.095581683951867
136,11.350270996875748
137,11.394205102660438
138,11.294880394286718
139,10.779676863547795
140,11.070872821850303
141,11.150422571476524
142,10.905713933011546
143,10.635713609267889
144,11.040780985739627
145,10.746520473843688
146,10.663341059095874
147,11.14969896351338
148,10.963696100904402
149,10.924990909132784
150,10.62204416188305
151,10.459269715799467
152,10.864666177949136
153,10.664442669491313
