week,index_turnover_rate
1,0.44
2,0.658
3,0.49000000000000005
4,0.5
5,0.46799999999999997
6,0.44799999999999995
7,0.492
8,0.36
9,0.386
10,0.32999999999999996
11,0.33399999999999996
12,0.32999999999999996
13,0.346
14,0.386
15,0.5519999999999999
16,0.5820000000000001
17,0.6199999999999999
18,0.55
19,0.636
20,0.442
21,0.5900000000000001
22,0.65
23,0.5599999999999999
24,0.36
25,0.4725
26,0.83
27,1.322
28,1.234
29,0.9959999999999999
30,1.078
31,0.962
32,0.6359999999999999
33,0.544
34,0.42799999999999994
35,0.414
36,0.488
37,0.47000000000000003
38,0.396
39,0.5325
40,0.394
41,0.414
42,0.418
43,0.4
44,0.4633333333333334
45,0.6639999999999999
46,0.528
47,0.5820000000000001
48,0.5820000000000001
49,0.522
50,0.45600000000000007
51,0.554
52,0.5933333333333333
53,0.622
54,0.516
55,0.42000000000000004
56,0.385
57,0.306
58,0.28600000000000003
59,0.284
60,0.256
61,0.2775
62,0.29
63,0.324
64,0.384
65,0.43600000000000005
66,0.364
67,0.31
68,0.32599999999999996
69,0.25
70,0.40800000000000003
71,0.3
72,0.27999999999999997
73,0.22600000000000003
74,0.188
75,0.185
76,0.254
77,0.22599999999999998
78,0.302
79,0.22400000000000003
80,0.376
81,0.40199999999999997
82,0.288
83,0.278
84,0.176
85,0.244
86,0.168
87,0.196
88,0.21600000000000003
89,0.196
90,0.23666666666666666
91,0.366
92,0.34199999999999997
93,0.256
94,0.33399999999999996
95,0.312
96,0.426
97,0.43600000000000005
98,0.384
99,0.45599999999999996
100,0.32999999999999996
101,0.254
102,0.30500000000000005
103,0.29
104,0.31
105,0.376
106,0.4266666666666667
107,0.352
108,0.288
109,0.262
110,0.33799999999999997
111,0.254
112,0.258
113,0.20750000000000002
114,0.21400000000000002
115,0.246
116,0.268
117,0.252
118,0.184
119,0.19
120,0.22999999999999998
121,0.20400000000000001
122,0.19
123,0.2
124,0.284
125,0.322
126,0.24
127,0.248
128,0.252
129,0.21800000000000003
130,0.23600000000000004
131,0.22999999999999998
132,0.21400000000000002
133,0.184
134,0.158
135,0.184
136,0.33999999999999997
137,0.386
138,0.45
139,0.43200000000000005
140,0.54
141,0.43200000000000005
142,0.52
143,0.518
144,0.588
145,0.588
146,0.462
147,0.418
148,0.532
149,0.362
150,0.39
151,0.376
152,0.2933333333333334
153,0.276
154,0.308
155,0.348
156,0.325
157,0.33199999999999996
158,0.358
159,0.44399999999999995
160,0.42000000000000004
161,0.33599999999999997
162,0.37
163,0.31
164,0.492
165,0.368
166,0.426
167,0.346
168,0.312
169,0.278
170,0.318
171,0.434
172,0.32
173,0.372
174,0.37
175,0.712
176,0.4533333333333333
177,0.41
178,0.29
179,0.4175
180,0.398
181,0.396
182,0.398
183,0.278
184,0.294
185,0.41
186,0.344
187,0.42800000000000005
188,0.284
189,0.256
190,0.23200000000000004
191,0.2525
192,0.262
193,0.246
194,0.26
195,0.2625
196,0.24
197,0.406
198,0.44000000000000006
199,0.41200000000000003
200,0.33599999999999997
201,0.314
202,0.328
203,0.376
204,0.276
205,0.445
206,0.27
207,0.256
208,0.24666666666666667
209,0.22999999999999998
210,0.272
211,0.196
212,0.20400000000000001
213,0.185
214,0.22200000000000003
215,0.246
216,0.20600000000000002
217,0.268
218,0.26799999999999996
219,0.326
220,0.414
221,0.64
222,0.518
223,0.458
224,0.488
225,0.37
226,0.536
227,0.5575
228,0.616
229,0.534
230,0.56
231,0.6366666666666666
232,0.6439999999999999
233,0.426
234,0.716
235,0.9099999999999999
236,1.046
237,0.638
238,1.296
239,2.004
240,2.066
241,1.7399999999999998
242,1.8059999999999998
243,1.7033333333333334
244,1.702
245,1.084
246,1.3980000000000001
247,1.066
248,0.942
249,0.764
250,0.76
251,0.9433333333333334
252,1.016
253,1.03
254,1.688
255,1.714
256,1.684
257,1.885
258,2.094
259,2.406
260,2.1575
261,1.6320000000000001
262,1.6019999999999999
263,1.528
264,2.17
265,2.024
266,2.1919999999999997
267,1.7420000000000002
268,1.83
269,2.0460000000000003
270,2.512
271,1.7559999999999998
272,1.49
273,1.302
274,0.852
275,1.1800000000000002
276,1.092
277,1.2
278,1.39
279,0.71
280,0.666
281,0.52
282,0.33666666666666667
283,0.545
284,0.756
285,0.8799999999999999
286,0.7
287,0.952
288,1.0859999999999999
289,0.786
290,0.71
291,0.728
292,0.48600000000000004
293,0.6140000000000001
294,0.724
295,0.48
296,0.54
297,0.562
298,0.46399999999999997
299,0.45600000000000007
300,0.348
301,0.43200000000000005
302,0.518
303,0.6679999999999999
304,0.434
305,0.54
306,0.616
307,0.45599999999999996
308,0.49
309,0.512
310,0.42800000000000005
311,0.26
312,0.3775
313,0.318
314,0.266
315,0.238
316,0.40800000000000003
317,0.3
318,0.33799999999999997
319,0.316
320,0.348
321,0.48
322,0.558
323,0.354
324,0.40800000000000003
325,0.298
326,0.386
327,0.6519999999999999
328,0.368
329,0.32
330,0.346
331,0.3466666666666667
332,0.24
333,0.21800000000000003
334,0.318
335,0.378
336,0.42400000000000004
337,0.37
338,0.536
339,0.564
340,0.616
341,0.792
342,0.534
343,0.524
344,0.382
345,0.308
346,0.36
347,0.34400000000000003
348,0.35
349,0.2725
350,0.22
351,0.35
352,0.462
353,0.446
354,0.366
355,0.322
356,0.37
357,0.40800000000000003
358,0.40800000000000003
359,0.57
360,0.612
361,0.458
362,0.44000000000000006
363,0.4
364,0.4
365,0.358
366,0.42400000000000004
367,0.38666666666666666
368,0.352
369,0.328
370,0.39
371,0.398
372,0.384
373,0.472
374,0.596
375,0.516
376,0.618
377,0.53
378,0.42000000000000004
379,0.42000000000000004
380,0.5940000000000001
381,0.504
382,0.476
383,0.43
384,0.362
385,0.42400000000000004
386,0.382
387,0.41
388,0.514
389,0.5439999999999999
390,0.578
391,0.642
392,0.454
393,0.43
394,0.33599999999999997
395,0.32399999999999995
396,0.388
397,0.5575
398,0.542
399,0.72
400,0.752
401,0.63
402,0.734
403,0.3866666666666667
404,0.395
405,0.44399999999999995
406,0.41400000000000003
407,0.404
408,0.404
409,0.418
410,0.37666666666666665
411,0.35
412,0.38
413,0.352
414,0.31666666666666665
415,0.298
416,0.274
417,0.298
418,0.312
419,0.298
420,0.274
421,0.3925
422,0.302
423,0.316
424,0.29
425,0.27199999999999996
426,0.396
427,0.306
428,0.304
429,0.258
430,0.24
431,0.28200000000000003
432,0.242
433,0.22599999999999998
434,0.284
435,0.2925
436,0.33399999999999996
437,0.288
438,0.434
439,0.44800000000000006
440,0.32999999999999996
441,0.40800000000000003
442,0.33799999999999997
443,0.252
444,0.3
445,0.254
446,0.25
447,0.254
448,0.3
449,0.33799999999999997
450,0.314
451,0.284
452,0.292
453,0.504
454,0.65
455,1.018
456,1.126
457,0.818
458,0.696
459,0.634
460,0.915
461,0.702
462,0.6380000000000001
463,0.584
464,0.5
465,0.508
466,0.41200000000000003
467,0.368
468,0.37
469,0.33
470,0.404
471,0.43600000000000005
472,0.366
473,0.42400000000000004
474,0.30200000000000005
475,0.33199999999999996
476,0.316
477,0.33399999999999996
478,0.358
479,0.31
480,0.368
481,0.356
482,0.466
483,0.475
484,0.362
485,0.328
486,0.24
487,0.2975
488,0.32
489,0.264
490,0.324
491,0.362
492,0.304
493,0.288
494,0.314
495,0.288
496,0.374
497,0.538
498,0.42000000000000004
499,0.55
500,0.534
501,0.404
502,0.49
503,0.632
504,0.514
505,0.682
506,0.8140000000000001
507,0.74
508,0.658
509,0.596
510,0.48200000000000004
511,0.41200000000000003
512,0.41000000000000003
513,0.378
514,0.344
515,0.4
516,0.43333333333333335
517,0.352
518,0.364
519,0.306
520,0.44800000000000006
521,0.44800000000000006
522,0.4640000000000001
523,0.49333333333333335
524,0.704
525,1.324
526,1.004
527,0.8320000000000001
528,0.632
529,0.79
530,0.658
531,0.688
532,0.522
533,0.55
534,0.516
535,0.422
536,0.39
537,0.3133333333333333
538,0.4
539,0.44000000000000006
540,0.384
541,0.406
542,0.492
543,0.564
544,0.52
545,0.594
546,0.7
547,0.49000000000000005
548,0.44399999999999995
549,0.49800000000000005
550,0.5475
551,0.774
552,0.8779999999999999
553,0.726
554,0.638
555,0.6439999999999999
556,0.6
557,0.78
558,0.8539999999999999
559,0.71
560,0.734
561,0.594
562,0.55
563,0.484
564,0.47500000000000003
565,0.45200000000000007
566,0.476
567,0.502
568,0.595
569,0.534
570,0.472
571,0.5700000000000001
572,0.512
573,0.504
574,0.49250000000000005
575,0.49800000000000005
576,0.454
577,0.55
578,0.666
579,0.6220000000000001
580,0.736
581,0.6759999999999999
582,0.624
583,0.674
584,0.6799999999999999
585,0.954
586,0.9359999999999999
587,0.796
588,0.7566666666666667
589,0.6575
590,0.61
591,0.524
592,0.514
593,0.54
594,0.5640000000000001
595,0.496
596,0.42800000000000005
597,0.47400000000000003
598,0.484
599,0.658
600,0.5860000000000001
601,0.524
602,0.442
603,0.6075
604,0.528
605,0.504
606,0.43200000000000005
607,0.542
608,0.414
609,0.496
610,0.45599999999999996
611,0.586
612,0.612
613,0.42000000000000004
614,0.446
615,0.52
616,0.48
617,0.42800000000000005
618,0.5940000000000001
619,0.495
620,0.44000000000000006
621,0.42000000000000004
622,0.442
623,0.4225
624,0.5860000000000001
625,0.6719999999999999
626,0.594
627,0.6020000000000001
628,0.502
629,0.49399999999999994
630,0.388
631,0.33599999999999997
632,0.4
633,0.346
634,0.378
635,0.386
636,0.352
637,0.374
638,0.405
639,0.31
640,0.31
641,0.358
642,0.32
643,0.41600000000000004
644,0.47800000000000004
645,0.42400000000000004
646,0.462
647,0.43600000000000005
648,0.52
649,0.534
650,0.354
651,0.282
652,0.272
