month,short_balance_ratio
1,1.727524537015685e-05
2,6.741803483179229e-05
3,0.00013098819053434575
4,0.00015397718708316867
5,0.0001034324363909268
6,8.550925215222939e-05
7,7.817461512842296e-05
8,6.538965362253607e-05
9,9.292876269662431e-05
10,0.00013849777777483533
11,0.00016363897488286817
12,0.00044224803105459597
13,0.0006399752415062566
14,0.0010662366382836752
15,0.0014356131887548096
16,0.0013929505408947218
17,0.0017405206056361024
18,0.002716373495608613
19,0.0031390160972815414
20,0.003276498746296826
21,0.006883445868530661
22,0.007220189547328842
23,0.0064443356637581195
24,0.005948364159402123
25,0.007865526308746254
26,0.007892930378114617
27,0.010071247045320201
28,0.0122958209255999
29,0.013093625885707217
30,0.01332595708255908
31,0.01742660654005827
32,0.02651883806582537
33,0.021878289666108112
34,0.019126913834965082
35,0.017687265370889625
36,0.018469697406432357
37,0.024146118867695535
38,0.019099572164276542
39,0.01922776842264701
40,0.025989882706462825
41,0.022205647510344498
42,0.017355523786956355
43,0.015402469038426566
44,0.02059971075785923
45,0.019448444136440233
46,0.015264308830843367
47,0.009572526302268722
48,0.01513696729955668
49,0.01836285592144476
50,0.02103410494472592
51,0.018458540103990596
52,0.014967830577905558
53,0.015317133648738802
54,0.011664202114540055
55,0.011832556145262445
56,0.012566208945068014
57,0.009201474092833036
58,0.011129879242080701
59,0.010387635334862307
60,0.006632244453070948
61,0.006269131344338329
62,0.005209049581187514
63,0.00407758246045475
64,0.002590175398530585
65,0.0035002029885470615
66,0.005364991711879925
67,0.0034493045198804796
68,0.0029867578466004517
69,0.003884732547058072
70,0.0047529002392806005
71,0.004400053720070107
72,0.004152686327641928
73,0.00446109478620914
74,0.005577493966171715
75,0.004311434375716671
76,0.005279760031413503
77,0.007489235458562714
78,0.009243845619064618
79,0.00804392755678078
80,0.006984855640697612
81,0.008897535200310317
82,0.009790432634221784
83,0.008953727121928594
84,0.009016238547077001
85,0.009433861698881208
86,0.012370774056127153
87,0.011799725527972177
88,0.010107901330026921
89,0.009375537512545903
90,0.00849515778653361
91,0.009828743725244879
92,0.010033998521540848
93,0.012485150366968836
94,0.010027653138050853
95,0.011954030642555152
96,0.011125313887702526
97,0.011780380701572453
98,0.014316952955267305
99,0.018357365716874283
100,0.020267945232915294
101,0.02620646705610884
102,0.029360308267214783
103,0.026973548129348948
104,0.024061194885410888
105,0.029132246656492354
106,0.023835486879484124
107,0.014226004243213405
108,0.010162397059780878
109,0.011741900754317885
110,0.015457825439138909
111,0.01834024847331027
112,0.025161576088058246
113,0.027452754764159478
114,0.024073521561223374
115,0.03265300778620908
116,0.034012150549158834
117,0.027251999968334554
118,0.018917588589430642
119,0.012325130162587666
120,0.019639323439226163
121,0.03285389259204878
122,0.03999546955110597
123,0.0394014352609881
124,0.034672716810135625
125,0.06102106541408889
126,0.10641725931149061
127,0.13258204437408397
128,0.13886490969144336
129,0.1497357460828462
130,0.13373009940308853
131,0.14968952480463987
132,0.17785692964481478
133,0.20016497377814368
134,0.17428361899220754
135,0.1523351786622127
136,0.13142325222296627
137,0.12308476486878481
138,0.12328147618013803
139,0.15808001503186078
140,0.12268789175631739
141,0.10566298885703264
142,0.10285004705497368
143,0.10390038751874354
144,0.09235120819319073
145,0.0971696148756422
146,0.0958152968898029
147,0.07520276966340633
148,0.09740256717615765
149,0.10614141376007391
150,0.14368347856943706
151,0.12992322740094048
152,0.11505324463614067
153,0.1247458379955773
