quarter,index_level,max_4,ML,mean_4,std_4,mean-2.5*std,CCt
1,3790.53,,,,,,
2,2791.82,,,,,,
3,2243.66,,,,,,
4,1817.72,,,,,,
5,2507.79,3790.53,0.6615934974792442,,,,
6,3166.47,2791.82,1.1341956143304366,,,,
7,3004.81,3166.47,0.948946302980922,,,,
8,3575.68,3166.47,1.1292322365283738,,,,0
9,3345.61,3575.68,0.9356569939144443,0.9684919128297441,0.22200888613054895,0.4134696975033717,0
10,2563.07,3575.68,0.7168063137640953,1.0370077869385441,0.10951047301321727,0.763231604405501,1
11,2935.57,3575.68,0.8209823026669054,0.9326604617969588,0.16882701568158642,0.5105929225929928,0
12,3128.26,3575.68,0.8748713531412208,0.9006694617184547,0.1766548140030615,0.459032426710801,0
13,3223.29,3345.61,0.9634386554320438,0.8370792408716665,0.09286281200306275,0.6049222108640097,0
14,3044.09,3223.29,0.9444046300519036,0.8440246562510664,0.10316116619680957,0.5861217407590424,0
15,2581.35,3223.29,0.8008432378098154,0.9009242353230184,0.0654931617654864,0.7371913309093023,1
16,2345.74,3223.29,0.7277471155248209,0.8958894691087459,0.07391923677734197,0.711091377165391,1
17,2454.9,3223.29,0.7616131344061503,0.8591084097046459,0.11374073624344071,0.5747565690960441,0
18,2461.61,3044.09,0.8086521751984994,0.8086520294481725,0.09530304042237533,0.5703944283922342,0
19,2293.11,2581.35,0.8883374978209078,0.7747139157348215,0.03747024473236714,0.6810383039039036,0
20,2522.95,2461.61,1.024918650801711,0.7965874807375946,0.06958405773155019,0.6226273364087191,0
21,2495.08,2522.95,0.9889534077171566,0.870880364556817,0.11524498581525865,0.5827679000186705,0
22,2200.64,2522.95,0.8722487564161002,0.9277154328845687,0.0981923897861427,0.6822344584192119,0
23,2409.04,2522.95,0.9548504726609723,0.9436145781889689,0.07486565260014778,0.7564504466885994,0
24,2330.03,2522.95,0.9235339582631444,0.9602428218989851,0.06526687156791514,0.7970756429791973,0
25,2146.31,2495.08,0.8602169068727256,0.9348966487643433,0.04957875024538681,0.8109497731508762,1
26,2165.12,2409.04,0.8987480490153754,0.9027125235532356,0.04429377844115505,0.791978077450348,0
27,2450.99,2409.04,1.017413575532162,0.9093373467030545,0.03999141261526289,0.8093588151648973,0
28,3533.71,2450.99,1.441748028347729,0.9249781224208518,0.06690398690694796,0.7577181551534818,0
29,4051.2,3533.71,1.1464438224981677,1.054531639941998,0.26667147381830864,0.38785295539622633,0
30,4473.0,4051.2,1.104117298578199,1.1260883688483585,0.23348747065073192,0.5423696922215288,0
31,3202.95,4473.0,0.7160630449362844,1.1774306812390645,0.1842137993321737,0.7168961829086302,1
32,3731.0,4473.0,0.8341158059467919,1.102093048590095,0.29796854293106134,0.35717169126244164,0
33,3218.09,4473.0,0.7194477978985021,0.9501849929898607,0.2085647985678573,0.4287729965702174,0
34,3153.92,4473.0,0.7051017214397496,0.8434359868399444,0.1822439293800392,0.3878261633898464,0
35,3253.28,3731.0,0.8719592602519433,0.743682092555332,0.060599269473270205,0.5921839188721565,0
36,3310.08,3731.0,0.8871830608415974,0.7826561463842467,0.08293195374427317,0.5753262620235637,0
37,3456.05,3310.08,1.0440986320572314,0.7959229601079482,0.09696541093553324,0.553509432769115,0
38,3666.8,3456.05,1.0609800205436843,0.8770856686476304,0.13856411925677586,0.5306753705056907,0
39,3836.5,3666.8,1.0462801352678084,0.9660552434236142,0.10029350104403108,0.7153214908135365,0
40,4030.85,3836.5,1.050658151961423,1.0096354621775805,0.0819784451564399,0.8046893492864807,0
41,3898.5,4030.85,0.9671657342744087,1.0505042349575369,0.007497567178673947,1.031760317010852,1
42,3510.98,4030.85,0.8710272026991825,1.0312710105118312,0.04317887908872413,0.923323812790021,1
43,3438.86,4030.85,0.8531351948100278,0.9837828060507057,0.08439625033442669,0.7727921802146389,1
44,3010.65,4030.85,0.7469020181847501,0.9354965709362605,0.09166028105464245,0.7063458682996544,1
45,3872.34,3898.5,0.993289726818007,0.8595575374920923,0.09026551528802362,0.6338937492720332,0
46,3825.59,3872.34,0.9879271964755161,0.8660885356279918,0.10095832217833481,0.6136927301821549,0
47,3814.53,3872.34,0.9850710423154991,0.8953135340720753,0.11829569611732094,0.5995742937787729,0
48,4096.58,3872.34,1.0579081382316635,0.9282974959484431,0.12097829857535304,0.6258517495100605,0
49,3686.16,4096.58,0.8998139911828891,1.0060490259601715,0.03474019641977442,0.9191985349107354,1
50,4163.96,4096.58,1.0164478662689365,0.982680092051392,0.06470264897527525,0.8209234696132038,0
51,4587.4,4163.96,1.1016916589016224,0.9898102594997471,0.06700415826065358,0.8222998638481132,0
52,5211.29,4587.4,1.136000784758251,1.0189654136462778,0.08672478879003148,0.8021534416711991,0
53,5048.36,5211.29,0.9687351884082444,1.0384885752779247,0.10522942222406106,0.775415019717772,0
54,5224.04,5211.29,1.0024466111078063,1.0557188745842636,0.07673994126039202,0.8638690214332836,0
55,4866.38,5224.04,0.9315357462806564,1.052218560793981,0.0794014461019153,0.8537149455391927,1
56,4940.37,5224.04,0.9456991140956041,1.0096795826387395,0.08905478568788772,0.7870426184190202,0
57,4222.6,5224.04,0.8083016209676802,0.9621041649730779,0.030957160440297043,0.8847112638723353,1
58,4485.01,5224.04,0.8585328596258834,0.9219957731129367,0.08175483069904167,0.7176086963653325,0
59,3804.89,4940.37,0.7701629635027336,0.8860173352424561,0.06436606019654355,0.7251021847510972,1
60,3871.63,4940.37,0.7836720731443192,0.8456741395479754,0.0758704709094515,0.6559979622743467,0
