month,amount
1,9.527356706899234
2,10.760042504956413
3,10.711358872874863
4,11.011146959002746
5,11.010781545909259
6,10.540019142489168
7,10.723325752370027
8,10.945798941946485
9,10.692410940656229
10,10.595541385609483
11,10.26202840458509
12,10.68638425377974
13,10.341320136226726
14,10.363774439269815
15,10.397392932943273
16,10.375382828988597
17,10.582206139777275
18,10.595290830463325
19,10.387683123085157
20,10.594260166041929
21,10.737993009347706
22,10.602376467743897
23,11.014826677033952
24,10.912143039798739
25,10.75241101948016
26,10.948066656391752
27,10.902486114411277
28,11.077298373243202
29,10.934941535871248
30,11.223783928018063
31,11.101515370396852
32,11.273212902583078
33,11.552488811725604
34,11.668427146069867
35,11.415757740998474
36,11.857513040115963
37,11.581715435874248
38,11.768156967046398
39,11.466556342712263
40,11.94198567305296
41,11.890023196806972
42,11.539380133983059
43,11.501573271967317
44,11.641958844182778
45,11.625533890952749
46,11.441785576004161
47,11.173017312344278
48,11.594548031701283
49,11.523238700262644
50,11.402756630073426
51,11.3474722346194
52,11.49657573356193
53,11.689574630797281
54,11.782242426404034
55,11.640823218407553
56,12.0571670445293
57,13.013946975055118
58,12.727893311673904
59,12.195656485195299
60,12.759438802282911
61,13.057737855148936
62,13.028476805788834
63,13.341789612050237
64,13.187466351708235
65,12.969453893641113
66,9.607990354723295
67,8.069664693575527
68,8.367801834688702
69,8.432388831716711
70,8.333433801435389
71,8.044953463965335
72,8.54922272529282
73,8.311869911671945
74,8.163169016796434
75,8.021656756716938
76,8.069802354897606
77,8.139883960162269
78,7.902520720632623
79,7.621263754283952
80,7.961516634512351
81,7.949843070489716
82,7.675541362155852
83,7.828002174909262
84,8.40099864344499
85,8.191889553159871
86,8.220096271381195
87,8.322843586809341
88,8.302479012904488
89,8.292753800864908
90,8.218299165933942
91,7.996253256686408
92,8.513689059109522
93,8.485539456334442
94,8.593633726742347
95,8.390683942868483
96,8.691741279605537
97,8.506548739716923
98,8.577990974709946
99,8.573702061014659
100,8.810732576272398
101,8.893818398811218
102,8.764982524956002
103,8.911829209341995
104,9.041699210390615
105,9.278393335221073
106,9.473492018684594
107,9.460876497458028
108,10.174568714222849
109,10.281420779476289
110,10.30688953386109
111,10.131601928803745
112,10.159420797641062
113,10.068262734780285
114,9.962708837194247
115,9.741817086520802
116,9.959122334015353
117,9.996238095627263
118,9.825589792816102
119,10.271739424493367
120,10.55566689460777
121,10.153422196018312
122,9.85323161464507
123,10.067512747046965
124,10.948041851372833
125,10.700694027532647
126,10.603948670925133
127,10.14727337854396
128,10.464923682642954
129,10.538822605631927
130,10.756884702950648
131,10.453725217304905
132,10.90046755224951
133,10.626006381903176
134,10.537336059946043
135,10.638898647549944
136,10.654476899235243
137,10.52918718483904
138,10.466131038080135
139,10.032922440932959
140,10.200618468731294
141,10.362909770589381
142,10.210945781345501
143,9.937484066369427
144,10.5677899433869
145,10.364734831600002
146,10.204544284150668
147,10.449023251034925
148,10.340389310276747
149,10.173585297943394
150,9.992972617435456
151,9.861993978390084
152,10.2501052919109
153,10.123521072713128
