Month,BASIS
1,35.532727272727286
2,28.650849999999924
3,15.828578947368442
4,0.6320454545454843
5,7.965727272727256
6,12.40394736842099
7,51.6738125
8,37.1506363636364
9,23.430956521739123
10,7.917650000000026
11,11.545733333333223
12,9.806260869565211
13,9.496894736842119
14,4.464952380952387
15,0.09257142857144832
16,4.552571428571355
17,0.4358695652174348
18,1.8740952380952702
19,2.1615625000000023
20,6.111499999999999
21,10.426909090909083
22,12.835066666666625
23,5.636619047619054
24,8.61736363636365
25,5.165294117647056
26,-6.396681818181833
27,-3.336599999999953
28,11.952227272727235
29,12.811826086956524
30,11.666949999999996
31,7.9716111111111125
32,3.9382727272726985
33,9.678761904761943
34,7.453899999999976
35,7.433999999999954
36,-0.2622380952380765
37,-3.1896111111111622
38,-13.150681818181821
39,-19.650117647058778
40,-27.939695652173867
41,-4.699681818181819
42,1.2059473684210293
43,-2.6334999999999886
44,2.5735714285713454
45,13.25777272727272
46,8.278714285714289
47,-5.658187500000025
48,-18.570761904761834
49,-0.34657142857139706
50,-6.818600000000037
51,-5.3317500000000795
52,-4.490347826087007
53,6.301809523809533
54,7.737095238095164
55,3.7033333333333758
56,6.4334500000000165
57,42.791304347826056
58,10.024399999999924
59,20.339933333333345
60,9.09436363636368
61,-0.969380952380951
62,18.864499999999953
63,-19.0538571428572
64,-115.64530434782607
65,-123.02252380952388
66,-112.20849999999999
67,-84.12271764705878
68,-67.03095238095239
69,-49.10298695652174
70,-57.478719999999974
71,-44.446118749999954
72,-37.4411217391304
73,-29.370610000000035
74,-27.64550000000004
75,-41.19034999999997
76,-31.660380952381036
77,-18.94789130434785
78,-22.10209999999997
79,-15.641106249999979
80,-11.996595454545492
81,-20.98818636363634
82,-10.75228333333333
83,-18.14429444444449
84,-19.042726086956502
85,-11.975822222222279
86,-14.702929999999991
87,-15.779550000000034
88,-15.962447619047627
89,-11.352165217391203
90,-0.41925238095234907
91,-5.424552941176417
92,-6.058577272727359
93,-2.5484333333333344
94,9.44783181818186
95,-21.10138000000003
96,-21.176772727272713
97,-11.969783333333327
98,-9.933331818181863
99,-30.76639
100,-18.089359090909117
101,-14.866908695652178
102,-0.5209789473684443
103,0.23037777777782745
104,-1.0031818181818049
105,1.853749999999991
106,1.766486363636349
107,10.471986666666727
108,0.6774761904762272
109,4.148666666666746
110,-23.467619999999965
111,-16.378926315789517
112,-11.620399999999968
113,-13.370195454545431
114,-2.667505000000074
115,-7.195127777777746
116,-1.8457285714285026
117,7.37166818181816
118,6.007693749999959
119,-13.647350000000007
120,-21.54710454545449
121,-22.74762857142856
122,-32.8044777777778
123,-32.02022999999995
124,-16.58081304347829
125,-21.893614285714257
126,-16.024118181818142
127,-14.094424999999944
128,-5.211580952380852
129,2.454386956521652
130,-8.311099999999943
131,-17.289673333333305
132,-26.12037826086955
133,-19.819895238095125
134,-6.663266666666611
135,-18.762495238095134
136,-24.93812727272726
137,-34.05170000000019
138,-5.06166000000012
139,-5.057356249999941
140,-1.2192272727272047
141,10.501208695652167
142,4.952231578947345
143,-4.316537500000152
144,-20.009213043478372
145,-4.759636842105249
146,-20.359121052631604
147,-20.364142857142856
148,-18.43145238095236
149,-4.287356521739105
150,1.4935619047618751
151,-1.0257562499999722
152,6.37292272727266
153,10.552463636363676
