Quarter,BASIS
1,25.29239999999998
2,6.743269841269827
3,35.787000000000006
4,9.604879310344806
5,4.527032786885259
6,2.2305384615384636
7,6.640499999999998
8,8.628913793103447
9,-2.027949152542363
10,12.168615384615372
11,7.104672131147544
12,4.555017857142843
13,-11.943508771929828
14,-11.29832812499999
15,4.8903770491803
16,-5.287310344827566
17,-4.103032786885273
18,2.9467538461538076
19,19.336540983606564
20,12.38005263157894
21,-0.6967419354839055
22,-116.99195312500001
23,-65.03450655737704
24,-46.13318813559319
25,-32.65204426229509
26,-24.104867187500027
27,-16.265381666666666
28,-16.23934067796611
29,-14.27955833333336
30,-9.309469230769187
31,-4.650386666666683
32,-9.73826101694914
33,-17.488620000000015
34,-11.715678125000018
35,0.3191966666666834
36,3.6236120689655404
37,-11.55716666666664
38,-9.457901538461542
39,-0.09993278688522028
40,-11.22172758620689
41,-28.95907457627117
42,-18.08568484848484
43,-4.6417183333333165
44,-17.695444827586172
45,-15.502816666666574
46,-21.859521875000098
47,2.193231147541021
48,-7.503174137931127
49,-15.337345762711866
50,-6.989306153846148
51,5.932439999999997
