quarter,inventory
1,13.675351536763753
2,14.487158783276975
3,14.540578312692299
4,14.541777668146288
5,14.68074417808388
6,14.692713623833983
7,14.830791236443375
8,14.99796969399792
9,15.147986333568124
10,15.561859047143713
11,15.577616165432772
12,15.622093120298352
13,15.687821067181561
14,15.609044951082568
15,15.721883006488259
16,15.77256155947223
17,16.04376771615305
18,16.257245057945887
19,16.33210400310924
20,16.4082904887693
21,16.322849381295338
22,15.515651325491
23,14.723324261142444
24,14.768236203175254
25,14.793507679274407
26,14.86737604337836
27,14.728515096213943
28,14.783484028382759
29,14.798561590993863
30,14.770424131994767
31,14.714078362466413
32,14.694689902492486
33,14.755272083140786
34,15.03413391689378
35,15.199303543250473
36,15.504079377893056
37,15.812281515041247
38,15.83991337884317
39,15.76389963194476
40,15.928623912431833
41,15.958251142007637
42,16.308723283267796
43,16.232083226292463
44,16.31314058783769
45,16.38686092365283
46,16.395539415345475
47,16.252461058195948
48,16.304751467928156
49,16.356915681657537
50,16.30878195880556
51,16.292695639694426
