quater,amount
1,11.568298485944439
2,11.97582107952742
3,11.892309670592736
4,11.629259362243712
5,11.466374067890563
6,11.621186599761986
7,11.68212800927103
8,11.956566253195327
9,11.969703583938239
10,12.184232578061673
11,12.425178255320528
12,12.761983120119986
13,12.711884049079252
14,12.904373522950822
15,12.690236081114566
16,12.516572464352441
17,12.525819721735445
18,12.76169923002066
19,13.507082392492462
20,13.690814985682062
21,14.251558681492629
22,13.792877747274668
23,9.400601162815498
24,9.428788115221014
25,9.271193673525767
26,9.140891682334205
27,8.954762726226802
28,9.117831365220798
29,9.345155315496699
30,9.370490447954605
31,9.456929319405155
32,9.665012065474935
33,9.651890512895822
34,9.92322007933611
35,10.187596749864351
36,10.860632470412387
37,11.341520821243257
38,11.165296482670037
39,11.003805385935598
40,11.359770788966445
41,11.131129470246016
42,11.860216891086932
43,11.496168650473335
44,11.819138547732374
45,11.700367970628138
46,11.651635637037556
47,11.306475669297095
48,11.370827080238143
49,11.443118583695759
50,11.277610010687889
51,11.189892515215522
